DATETIME, REPOSITORY_URL, BRANCH, SCORE, LEVEL, RESULT, DROP_INTERVAL, 1LINE_SCORE, 2LINE_SCORE, 3LINE_SCORE, 4LINE_SCORE, GAMEOVER_SCORE, DROPDOWN_SCORE, BLOCK_NO, TRIAL_NUM, SCORE_MEAN, SCORE_STDEV, SCORE_MAX, SCORE_MIN
2021/12/28_20:59:17, https://github.com/seigot/tetris, master, -2114, 1, SUCCESS, 1000, 0, 0, 0, 0, -4000, -, -, -, -, -, -, -
2021/12/29_3:06:33, https://github.com/seigot/tetris, master, -1572, 1, SUCCESS, 1000, 0, 0, 0, 0, -3500, -, -, -, -, -, -, -
2021/12/29_3:07:22, https://github.com/seigot/tetris, master, -1914, 1, SUCCESS, 1000, 0, 0, 0, 0, -4000, -, -, -, -, -, -, -
2021/12/29_14:37:54, https://github.com/seigot/tetris, master, -2024, 1, SUCCESS, 1000, 0, 0, 0, 0, -4000, -, -, -, -, -, -, -
2021/12/29_22:06:41, https://github.com/seigot/tetris, master, -1529, 1, SUCCESS, 1000, 0, 0, 0, 0, -3500, -, -, -, -, -, -, -
2022/01/04_2:45:36, https://github.com/seigot/tetris, master, -1664, 1, SUCCESS, 1000, 0, 0, 0, 0, -3500, -, -, -, -, -, -, -
2022/01/04_13:07:46, https://github.com/seigot/tetris, master, -1502, 1, SUCCESS, 1000, 0, 0, 0, 0, -3500, -, -, -, -, -, -, -
2022/01/06_0:19:56, https://github.com/seigot/tetris, master, -1495, 1, SUCCESS, 1000, 100, 0, 0, 0, -3500, -, -, -, -, -, -, -
2022/01/08_22:52:18, https://github.com/seigot/tetris, master, -1502, 1, SUCCESS, 1000, 0, 0, 0, 0, -3500, -, -, -, -, -, -, -
2022/01/08_23:14:24, https://github.com/seigot/tetris, master, -17782, 1, SUCCESS, 100, 300, 0, 0, 0, -37000, -, -, -, -, -, -, -
2022/01/16_22:15:45, https://github.com/isshy-you/tetris, master, 17115, 1, SUCCESS, 1000, 1700, 2700, 700, 9100, 0, -, -, -, -, -, -, -
2022/01/22_22:23:17, https://github.com/seigot/tetris, master, -1569, 1, SUCCESS, 1000, 0, 0, 0, 0, -3500, 1931, 180, -, -, -, -, -
2022/01/25_17:23:17, https://github.com/seigot/tetris, master, -2078, 1, SUCCESS, 1000, 0, 0, 0, 0, -4000, 1922, 180, -, -, -, -, -
2022/02/05_21:58:02, https://github.com/isshy-you/tetris, ish04f, 15746, 1, SUCCESS, 1000, 1800, 4200, 2800, 3900, 0, 3046, 180, -, -, -, -, -
2022/02/12_1:03:56, https://github.com/seigot/tetris, master, -1504, 1, SUCCESS, 1000, 0, 0, 0, 0, -3500, 1996, 180, 10, -1696.90, 206.70, -1504, -2078
2022/02/12_21:33:01, https://github.com/seigot/tetris, master, -318362, 1, SUCCESS, 1, 3600, 0, 0, 0, -641000, 319038, 30262, 10, -327373.50, 6162.04, -318362, -336749
2022/02/12_22:49:54, https://github.com/isshy-you/tetris, master, 17115, 1, SUCCESS, 1000, 1700, 2700, 700, 9100, 0, 2915, 180, 10, 17115.00, 0.00, 17115, 17115
2022/02/14_0:40:36, https://github.com/isshy-you/tetris, ish04e, 16931, 1, SUCCESS, 1000, 1700, 3000, 1400, 7800, 0, 3031, 180, 10, 16931.00, 0.00, 16931, 16931
2022/02/16_22:25:49, https://github.com/usamin24/tetris, master, 12115, 1, SUCCESS, 1000, 5000, 1800, 700, 1300, 0, 3315, 180, 10, 12115.00, 0.00, 12115, 12115
2022/02/18_0:53:27, https://github.com/isshy-you/tetris, master, 1020695, 1, SUCCESS, 1, 149200, 279000, 387100, 11700, -46000, 239695, 15670, 10, 1007687.90, 10027.47, 1020695, 988902
2022/02/23_1:52:53, https://github.com/seigot/tetris, master, -1428, 1, SUCCESS, 1000, 100, 0, 0, 0, -3500, 1972, 180, 10, -1737.00, 259.23, -1428, -2081
2022/02/23_2:04:40, https://github.com/seigot/tetris, master, -1456, 1, SUCCESS, 1000, 100, 0, 0, 0, -3500, 1944, 180, 10, -1770.10, 364.47, -1456, -2555
2022/02/26_1:32:58, https://github.com/isshy-you/tetris, ish05a, 13071, 1, SUCCESS, 1000, 3200, 3300, 2100, 1300, 0, 3171, 180, 10, 13071.00, 0.00, 13071, 13071
2022/02/27_0:07:44, https://github.com/isshy-you/tetris, ish05a, 15199, 1, SUCCESS, 1000, 2500, 2100, 3500, 3900, 0, 3199, 180, 10, 15199.00, 0.00, 15199, 15199
