DATETIME, REPOSITORY_URL, BRANCH, SCORE, LEVEL, RESULT, DROP_INTERVAL, VALUE_MODE, VALUE_PREDICT_WEIGHT, 1LINE_SCORE, 2LINE_SCORE, 3LINE_SCORE, 4LINE_SCORE, GAMEOVER_SCORE, DROPDOWN_SCORE, BLOCK_NO, TRIAL_NUM, SCORE_MEAN, SCORE_STDEV, SCORE_MAX, SCORE_MIN
2022/07/09_23:05:24, https://github.com/seigot/tetris, master, 1564216, 3, SUCCESS, 1, predict_sample, weight/DQN/sample_weight.pt, 846500, 291900, 44100, 9100, -4500, 377116, 26857, 10, 1507246.20, 44676.91, 1564216, 1452608
2022/09/15_16:20:55, https://github.com/isshy-you/tetris, ish07b_lv3, 1495973, 3, SUCCESS, 5, default, outputs/latest/best_weight.pt, 395500, 456000, 348600, 249600, -227000, 273273, 34255, 10, 1454110.90, 25477.37, 1495973, 1417433
2022/09/15_14:34:52, https://github.com/isshy-you/tetris, ish06c, 1319677, 3, SUCCESS, 5, default, outputs/latest/best_weight.pt, 394800, 400800, 254800, 198900, -155500, 225877, 28611, 10, 1265313.00, 25616.53, 1319677, 1225976
2022/09/12_22:08:41, https://github.com/isshy-you/tetris, ish06c, 1230675, 3, SUCCESS, 1, default, outputs/latest/best_weight.pt, 366800, 377100, 254100, 158600, -142000, 216075, 26566, 10, 1158156.30, 40017.10, 1230675, 1105061
2022/09/11_23:08:24, https://github.com/AtsutoshiNaraki/tetris, Ryuoh, 1152222, 3, SUCCESS, 1, default, outputs/latest/best_weight.pt, 1218400, 430800, 95900, 26000, -1265000, 646122, 94750, 10, 1055392.00, 89171.34, 1152222, 901862
2022/09/10_23:42:24, https://github.com/AtsutoshiNaraki/tetris, Ryuoh, 1052141, 3, SUCCESS, 1, default, outputs/latest/best_weight.pt, 1114800, 394500, 93800, 20800, -1163000, 591241, 87038, 10, 999617.70, 72809.07, 1052141, 812032
2022/09/13_20:52:50, https://github.com/cookie4869/tetris, cookie4_branch, 1012566, 3, SUCCESS, 1, predict, outputs/2022-09-13-00-28-28/trained_model/tetris_epoch3741_score138100.pt, 523800, 194700, 23800, 9100, -500, 261666, 16692, 10, 981664.20, 17266.77, 1012566, 960355
2022/06/30_22:51:13, https://github.com/isshy-you/tetris, ish05h3, 989660, 3, SUCCESS, 1, -, -, 268500, 300300, 217700, 143000, -118000, 178160, 20971, , , , ,
2022/09/15_12:00:53, https://github.com/isshy-you/tetris, ish06c, 809693, 3, SUCCESS, 10, default, outputs/latest/best_weight.pt, 236100, 260100, 150500, 117000, -94000, 139993, 17474, 10, 787106.30, 16825.38, 809693, 762768
2022/09/15_1:08:18, https://github.com/isshy-you/tetris, ish07b_lv3, 797499, 3, SUCCESS, 10, default, outputs/latest/best_weight.pt, 199800, 251400, 189700, 127400, -109000, 138199, 17540, 10, 738805.60, 28859.93, 797499, 704656
2022/09/15_11:59:55, https://github.com/isshy-you/tetris, ish07b_lv1, 784956, 3, SUCCESS, 10, default, outputs/latest/best_weight.pt, 173300, 228900, 201600, 169000, -125500, 137656, 17551, 10, 745699.70, 31026.45, 784956, 700039
2022/09/15_12:00:26, https://github.com/isshy-you/tetris, ish07b_lv2, 760155, 3, SUCCESS, 10, default, outputs/latest/best_weight.pt, 171000, 221100, 211400, 146900, -130500, 140255, 17538, 10, 729156.50, 23147.30, 760155, 698576
2022/03/22_20:18:54, https://github.com/isshy-you/tetris, ish05h3, 705410, 3, SUCCESS, 1, -, -, 208900, 211800, 144900, 102700, -90500, 127610, 15469, 10, 678634.60, 15143.28, 705410, 648361
2022/03/22_19:52:46, https://github.com/isshy-you/tetris, ish05h3, 691543, 3, SUCCESS, 1, -, -, 204600, 208200, 144200, 98800, -89500, 125243, 15205, 10, 670097.50, 15361.81, 691543, 650008
2022/03/22_2:15:07, https://github.com/isshy-you/tetris, ish05g3, 681512, 3, SUCCESS, 1, -, -, 175900, 202200, 154700, 120900, -91500, 119312, 14734, 10, 647521.80, 25382.62, 681512, 614784
2022/03/22_21:46:42, https://github.com/isshy-you/tetris, ish05g6, 667637, 3, SUCCESS, 1, -, -, 185900, 201300, 152600, 106600, -99500, 120737, 15248, 10, 629319.90, 30617.51, 667637, 583953
2022/07/10_1:30:54, https://github.com/seigot/tetris, master, 662235, 3, SUCCESS, 1, predict_sample2, weight/MLP/sample_weight.pt, 386600, 120300, 49700, 48100, -89500, 147035, 16846, 10, 529693.60, 60265.85, 662235, 450272
2022/03/21_3:07:35, https://github.com/isshy-you/tetris, ish05f, 611265, 3, SUCCESS, 1, -, -, 139300, 190800, 166600, 118300, -123500, 119765, 15067, 10, 595205.40, 15386.56, 611265, 571366
2022/03/17_0:51:27, https://github.com/isshy-you/tetris, ish05d, 587077, 3, SUCCESS, 1, -, -, 134600, 193500, 155400, 117000, -133000, 119577, 15122, 10, 550995.30, 24879.99, 587077, 508150
2022/03/15_21:52:59, https://github.com/isshy-you/tetris, ish05c, 576671, 3, SUCCESS, 1, -, -, 129700, 179400, 172200, 109200, -132000, 118171, 14893, 10, 515328.00, 37515.10, 576671, 456007
2022/02/19_21:55:41, https://github.com/isshy-you/tetris, ish04f, 303472, 3, SUCCESS, 1, -, -, 151100, 141600, 60200, 24700, -179000, 104872, 14748, 10, 258086.60, 28781.18, 303472, 208657
2022/02/18_20:47:59, https://github.com/isshy-you/tetris, ish04e, 240951, 3, SUCCESS, 1, -, -, 189000, 96000, 52500, 13000, -221000, 111451, 16188, 10, 213337.20, 18787.69, 240951, 178243
2022/02/06_19:02:00, https://github.com/isshy-you/tetris, ish04f, 230161, 3, SUCCESS, 1, -, -, 134500, 118500, 62300, 18200, -206500, 103161, 15008, -, -, -, -, -
2022/01/30_21:41:52, https://github.com/isshy-you/tetris, ish04e, 230027, 3, SUCCESS, 1, -, -, 189300, 101400, 39900, 22100, -238500, 115827, 16913, -, -, -, -, -
2022/02/06_0:13:34, https://github.com/isshy-you/tetris, ish04e, 224021, 3, SUCCESS, 1, -, -, 189400, 105300, 37800, 10400, -231500, 112621, 16569, -, -, -, -, -
2022/03/04_23:57:26, https://github.com/isshy-you/tetris, ish05a, 142199, 3, SUCCESS, 1, -, -, 53800, 83100, 71400, 98800, -263500, 98599, 14793, 10, 98760.00, 27837.05, 142199, 55250
2022/03/07_0:32:11, https://github.com/isshy-you/tetris, ish05a, 139204, 3, SUCCESS, 1, -, -, 55700, 80400, 94500, 71500, -262500, 99604, 14903, 10, 100651.60, 28794.87, 139204, 41643
2022/01/21_19:00:26, https://github.com/yuin0/tetris, master, 90851, 3, SUCCESS, 1, -, -, 14500, 13500, 11200, 39000, 0, -, -, -, -, -, -, -
2022/01/29_20:11:23, https://github.com/isshy-you/tetris, master, 88932, 3, SUCCESS, 1, -, -, 76200, 81300, 51800, 61100, -282500, 101032, 15210, -, -, -, -, -
2022/09/10_23:42:24, https://github.com/AtsutoshiNaraki/tetris, Ryuoh, 87799, 3, SUCCESS, 1, default, outputs/latest/best_weight.pt, 90900, 33600, 9800, 0, -94000, 47499, 7095, 10, 63036.00, 16645.96, 87799, 39106
2022/09/14_21:34:23, https://github.com/isshy-you/tetris, ish07b_lv3, 86555, 3, SUCCESS, 100, default, outputs/latest/best_weight.pt, 22500, 24900, 23800, 10400, -9000, 13955, 1766, 10, 70583.80, 7741.52, 86555, 59760
